MONDO:0019540	HP:0025420
MONDO:0004568	HP:0002590
MONDO:0004585	HP:0001561
MONDO:0004686	HP:0001149
MONDO:0004697	HP:0012859
MONDO:0004737	HP:0002156
MONDO:0004747	HP:0410030
MONDO:0004754	HP:0002035
MONDO:0004758	HP:0000575
MONDO:0004770	HP:0000520
MONDO:0004773	HP:0001094
MONDO:0004823	HP:0001651
MONDO:0004846	HP:0011419
MONDO:0004910	HP:0001634
MONDO:0004975	HP:0002511
MONDO:0004981	HP:0005110
MONDO:0004997	HP:0030432
MONDO:0005001	HP:0005231
MONDO:0005021	HP:0001644
MONDO:0005055	HP:0100726
MONDO:0005098	HP:0001297
MONDO:0005099	HP:0002138
MONDO:0005101	HP:0100279
MONDO:0005160	HP:0004942
MONDO:0005166	HP:0100246
MONDO:0005173	HP:0025127
MONDO:0005178	HP:0002758
MONDO:0005230	HP:0100658
MONDO:0005260	HP:0000717
MONDO:0005262	HP:0030724
MONDO:0005279	HP:0002204
MONDO:0005288	HP:0005266
MONDO:0005296	HP:0010535
MONDO:0005297	HP:0500006
MONDO:0005310	HP:0004749
MONDO:0005345	HP:0000047
MONDO:0005347	HP:0002155
MONDO:0005349	HP:0000362
MONDO:0005362	HP:0000802
MONDO:0005369	HP:0100570
MONDO:0005412	HP:0002588
MONDO:0005463	HP:0004380
MONDO:0005466	HP:0100786
MONDO:0005469	HP:0001278
MONDO:0005475	HP:0002077
MONDO:0005489	HP:0010522
MONDO:0005492	HP:0001025
MONDO:0005520	HP:0002748
MONDO:0005541	HP:0003304
MONDO:0005667	HP:0012396
MONDO:0005674	HP:0011847
MONDO:0005712	HP:0000639
MONDO:0005783	HP:0011851
MONDO:0005803	HP:0000825
MONDO:0005804	HP:0000870
MONDO:0005898	HP:0001818
MONDO:0005936	HP:0006532
MONDO:0005965	HP:0003416
MONDO:0005997	HP:0010446
MONDO:0006007	HP:0000076
MONDO:0006123	HP:0009729
MONDO:0006190	HP:0030393
MONDO:0006651	HP:0012122
MONDO:0006814	HP:0001101
MONDO:0007915	HP:0002725
MONDO:0009116	HP:0004789
MONDO:0009172	HP:0004387
MONDO:0011122	HP:0001513
MONDO:0011786	HP:0003193
MONDO:0015265	HP:0011946
MONDO:0017181	HP:0012459
MONDO:0018667	HP:0011919
MONDO:0019340	HP:0100324
MONDO:0020283	HP:0000554
MONDO:0020678	HP:0000407
MONDO:0037748	HP:0010980
MONDO:0041161	HP:0040298
MONDO:0041261	HP:0001941
MONDO:0010805	HP:0002836
MONDO:0010837	HP:0008200
MONDO:0011182	HP:0003614
MONDO:0011414	HP:0000659
MONDO:0011514	HP:0011662
MONDO:0011847	HP:0002083
MONDO:0011927	HP:0012329
MONDO:0018646	HP:0030991
MONDO:0020525	HP:0008255
MONDO:0021003	HP:0010442
MONDO:0024246	HP:0031018
MONDO:0002443	HP:0003763
MONDO:0002454	HP:0000854
MONDO:0002461	HP:0000793
MONDO:0002465	HP:0011950
MONDO:0002598	HP:0100620
MONDO:0002613	HP:0012077
MONDO:0002615	HP:0000991
MONDO:0002660	HP:0010749
MONDO:0002697	HP:0000149
MONDO:0002698	HP:0000030
MONDO:0002735	HP:0030439
MONDO:0002829	HP:0030419
MONDO:0002904	HP:0010529
MONDO:0003002	HP:0100621
MONDO:0003019	HP:0002900
MONDO:0003038	HP:0010526
MONDO:0003223	ONCOTREE:HPCCNS
MONDO:0003227	HP:0010528
MONDO:0003304	HP:0009732
MONDO:0003308	HP:0100002
MONDO:0003329	HP:0006000
MONDO:0003362	HP:0006755
MONDO:0003367	HP:0031025
MONDO:0003645	HP:0007486
MONDO:0003669	HP:0100617
MONDO:0003783	HP:0001888
MONDO:0003805	HP:0100004
MONDO:0003865	HP:0012060
MONDO:0004348	HP:0007763
MONDO:0004830	HP:0100537
MONDO:0004986	HP:0002862
MONDO:0005034	HP:0006731
MONDO:0005035	HP:0006747
MONDO:0005068	HP:0001658
MONDO:0005075	HP:0002895
MONDO:0005075	ONCOTREE:THPA
MONDO:0005086	HP:0005584
MONDO:0005164	HP:0100244
MONDO:0005207	HP:0100768
MONDO:0005212	HP:0002859
MONDO:0005233	HP:0030358
MONDO:0005236	HP:0001114
MONDO:0005341	HP:0002671
MONDO:0005478	HP:0001664
MONDO:0006456	HP:0100522
MONDO:0006640	HP:0003118
MONDO:0006882	HP:0100796
MONDO:0006890	HP:0002897
MONDO:0008978	HP:0010762
MONDO:0009807	HP:0002669
MONDO:0010434	HP:0012570
MONDO:0011655	HP:0012218
MONDO:0017582	HP:0011763
MONDO:0009374	HP:0003260
MONDO:0009388	HP:0002161
MONDO:0009576	HP:0000485
MONDO:0009576	HP:0007660
MONDO:0009628	HP:0004388
MONDO:0009774	HP:0010475
MONDO:0009808	HP:0030433
MONDO:0009813	HP:0005901
MONDO:0009825	HP:0040142
MONDO:0009870	HP:0003777
MONDO:0009930	HP:0006548
MONDO:0009938	HP:0001642
MONDO:0009994	HP:0006779
MONDO:0010029	HP:0001696
MONDO:0010096	HP:0040141
MONDO:0010098	HP:0000679
MONDO:0010167	HP:0012237
MONDO:0010481	HP:0100665
MONDO:0010528	HP:0000458
MONDO:0010562	HP:0010448
MONDO:0010594	HP:0000119
MONDO:0010643	HP:0002488
MONDO:0015193	HP:0001789
MONDO:0016535	HP:0007607
MONDO:0017304	HP:0001107
MONDO:0017985	HP:0002974
MONDO:0018106	HP:0010934
MONDO:0018242	HP:0011771
MONDO:0018641	HP:0004818
MONDO:0019005	HP:0000090
MONDO:0019306	HP:0007431
MONDO:0012494	HP:0012215
MONDO:0013577	HP:0100695
MONDO:0013663	HP:0040175
MONDO:0017666	HP:0007435
MONDO:0021002	HP:0001159
MONDO:0020773	HP:0030998
MONDO:0020920	HP:0002740
MONDO:0021642	HP:0100677
MONDO:0021643	HP:0002626
MONDO:0021718	HP:0031003
MONDO:0021902	HP:0011604
MONDO:0024677	HP:0012197
MONDO:0028737	HP:0005912
MONDO:0042727	HP:0030736
MONDO:0044638	ONCOTREE:HPHSC
MONDO:0044753	HP:0004610
MONDO:0008040	HP:0005534
MONDO:0008095	HP:0025105
MONDO:0008168	HP:0010618
MONDO:0008213	HP:0000767
MONDO:0008249	HP:0010769
MONDO:0008320	HP:0003179
MONDO:0008331	HP:0000538
MONDO:0008340	HP:0007970
MONDO:0008373	HP:0001136
MONDO:0008475	HP:0003302
MONDO:0008482	HP:0000912
MONDO:0008504	HP:0004381
MONDO:0008509	HP:0100263
MONDO:0008511	HP:0100264
MONDO:0008532	HP:0000695
MONDO:0008561	HP:0001172
MONDO:0008583	HP:0000473
MONDO:0008628	HP:0000070
MONDO:0008677	HP:0000349
MONDO:0008685	HP:0001716
MONDO:0008686	HP:0002224
MONDO:0008698	HP:0002571
MONDO:0008720	HP:0011748
MONDO:0008832	HP:0011536
MONDO:0009047	HP:0000028
MONDO:0009055	HP:0025107
MONDO:0009058	HP:0003153
MONDO:0009067	HP:0003131
MONDO:0009126	HP:0002247
MONDO:0009174	HP:0002243
MONDO:0009175	HP:0045029
MONDO:0009256	HP:0100829
MONDO:0015277	HP:0002865
MONDO:0015827	HP:0008341
MONDO:0016608	HP:0001355
MONDO:0017198	HP:0011002
MONDO:0018178	HP:0002593
MONDO:0018555	HP:0000044
MONDO:0018953	HP:0002697
MONDO:0019015	HP:0001539
MONDO:0019629	HP:0000647
MONDO:0019673	HP:0005696
MONDO:0020201	HP:0000524
MONDO:0015195	HP:0000068
MONDO:0015249	HP:0011560
MONDO:0015341	HP:0025471
MONDO:0015386	HP:0030767
MONDO:0015389	HP:0009934
MONDO:0015661	HP:0001651
MONDO:0015677	HP:0100571
MONDO:0015848	HP:0001153
MONDO:0015849	HP:0008740
MONDO:0015850	HP:0000145
MONDO:0018470	HP:0000104
MONDO:0018838	HP:0001339
MONDO:0019065	HP:0011034
MONDO:0019269	HP:0008064
MONDO:0006251	HP:0025197
MONDO:0006345	HP:0005679
MONDO:0006354	HP:0008208
MONDO:0006382	ONCOTREE:THPD
MONDO:0006448	HP:0100616
MONDO:0006468	HP:0011779
MONDO:0006498	HP:0005227
MONDO:0006515	HP:0001735
MONDO:0006530	HP:0009797
MONDO:0006536	HP:0009059
MONDO:0006560	HP:0000966
MONDO:0006573	HP:0009125
MONDO:0006602	HP:0200044
MONDO:0006608	HP:0001051
MONDO:0006624	HP:0000012
MONDO:0006637	HP:0008682
MONDO:0006639	HP:0006744
MONDO:0006669	HP:0006689
MONDO:0006711	HP:0002563
MONDO:0006714	HP:0030882
MONDO:0006726	HP:0009110
MONDO:0006769	HP:0002578
MONDO:0006791	HP:0012188
MONDO:0006795	HP:0001971
MONDO:0006806	HP:0012124
MONDO:0006947	HP:0100817
MONDO:0006996	HP:0011782
MONDO:0007001	HP:0001704
MONDO:0007016	HP:0004905
MONDO:0007035	HP:0000956
MONDO:0007074	HP:0031009
MONDO:0007122	HP:0009916
MONDO:0007145	HP:0001057
MONDO:0007147	HP:0002870
MONDO:0007303	HP:0000891
MONDO:0007305	HP:0008469
MONDO:0007354	HP:0000588
MONDO:0007391	HP:0002812
MONDO:0007515	HP:0009918
MONDO:0007591	HP:0002219
MONDO:0007677	HP:0003108
MONDO:0007705	HP:0005511
MONDO:0007722	HP:0001100
MONDO:0007735	HP:0006837
MONDO:0007737	HP:0003041
MONDO:0007756	HP:0007570
MONDO:0007765	HP:0005890
MONDO:0007774	HP:0001347
MONDO:0007778	HP:0000316
MONDO:0008947	HP:0002135
MONDO:0015075	HP:0002890
MONDO:0015279	HP:0002728
MONDO:0015686	HP:0030406
MONDO:0015790	HP:0000863
MONDO:0016483	HP:0007029
MONDO:0016648	HP:0002654
MONDO:0017255	HP:0012121
MONDO:0018493	HP:0002047
MONDO:0018561	HP:0010465
MONDO:0018849	HP:0000703
MONDO:0018911	HP:0004904
MONDO:0018943	HP:0003715
MONDO:0019290	HP:0001010
MONDO:0020236	HP:0001083
MONDO:0020246	HP:0007773
MONDO:0020248	HP:0007964
MONDO:0020289	HP:0001702
MONDO:0027766	HP:0009064
MONDO:0044782	HP:0004791
MONDO:0018551	HP:0010479
MONDO:0018664	HP:0001683
MONDO:0018815	HP:0012063
MONDO:0018844	HP:0012618
MONDO:0018936	HP:0011846
MONDO:0018969	HP:0030770
MONDO:0019007	HP:0000148
MONDO:0019023	HP:0200151
MONDO:0019610	HP:0002044
MONDO:0019637	HP:0000089
MONDO:0019638	HP:0000110
MONDO:0019644	HP:0008718
MONDO:0019645	HP:0012582
MONDO:0019665	HP:0010736
MONDO:0019759	HP:0000039
MONDO:0019804	HP:0002779
MONDO:0019807	HP:0011599
MONDO:0019808	HP:0010883
MONDO:0020356	HP:0000612
MONDO:0020398	HP:0011570
MONDO:0020417	HP:0012020
MONDO:0020419	HP:0004971
MONDO:0020429	HP:0011566
MONDO:0020439	HP:0001655
MONDO:0000063	HP:0003570
MONDO:0000088	HP:0000826
MONDO:0000094	HP:0004444
MONDO:0000129	HP:0003150
MONDO:0000129	HP:0003530
MONDO:0000138	HP:0005871
MONDO:0000190	HP:0001663
MONDO:0000249	HP:0005208
MONDO:0000265	HP:0011951
MONDO:0000313	HP:0002148
MONDO:0000328	HP:0002905
MONDO:0000351	HP:0003235
MONDO:0000365	HP:0008007
MONDO:0000387	HP:0004840
MONDO:0000447	HP:0006557
MONDO:0000465	HP:0001678
MONDO:0000495	HP:0010865
MONDO:0000541	HP:0030411
MONDO:0000671	HP:0010525
MONDO:0000680	HP:0010527
MONDO:0000685	HP:0030222
MONDO:0000728	HP:0000508
MONDO:0000733	HP:0007720
MONDO:0000744	HP:0025044
MONDO:0000746	HP:0000023
MONDO:0000747	HP:0001537
MONDO:0000748	HP:0000265
MONDO:0000751	HP:0030159
MONDO:0000754	HP:0010447
MONDO:0000796	HP:0100327
MONDO:0000859	HP:0003298
MONDO:0000866	HP:0002913
MONDO:0000945	HP:0005293
MONDO:0000980	HP:0012397
MONDO:0001008	HP:0000581
MONDO:0001020	HP:0000646
MONDO:0001044	HP:0002032
MONDO:0001045	HP:0011100
MONDO:0001065	HP:0008071
MONDO:0001068	HP:0002749
MONDO:0001075	HP:0002570
MONDO:0001126	HP:0002592
MONDO:0001143	HP:0031775
MONDO:0001147	HP:0002435
MONDO:0001149	HP:0000252
MONDO:0001156	HP:0012076
MONDO:0001210	HP:0000490
MONDO:0001245	HP:0001935
MONDO:0001256	HP:0100026
MONDO:0001266	HP:0001055
MONDO:0001271	HP:0001132
MONDO:0001280	HP:0012123
MONDO:0001303	HP:0007686
MONDO:0001305	HP:0001602
MONDO:0001306	HP:0000495
MONDO:0001314	HP:0000934
MONDO:0001321	HP:0030854
MONDO:0001342	HP:0002961
MONDO:0001357	HP:0001931
MONDO:0001370	HP:0001698
MONDO:0001384	HP:0000545
MONDO:0001409	HP:0100633
MONDO:0001414	HP:0010739
MONDO:0001445	HP:0000011
MONDO:0001447	HP:0025488
MONDO:0001478	HP:0012803
MONDO:0001519	HP:0000621
MONDO:0001552	HP:0002442
MONDO:0001556	HP:0000796
MONDO:0001561	HP:0002021
MONDO:0001566	HP:0003072
MONDO:0001571	HP:0000771
MONDO:0001595	HP:0002072
MONDO:0001603	HP:0030003
MONDO:0001612	HP:0100546
MONDO:0001617	HP:0010534
MONDO:0001623	HP:0030004
MONDO:0001645	HP:0008653
MONDO:0001650	HP:0000010
MONDO:0001662	HP:0011712
MONDO:0001673	HP:0002014
MONDO:0001700	HP:0001889
MONDO:0001718	HP:0100532
MONDO:0001780	HP:0012876
MONDO:0001822	HP:0010981
MONDO:0001836	HP:0000141
MONDO:0001882	HP:0012461
MONDO:0001910	HP:0030764
MONDO:0001911	HP:0002787
MONDO:0001913	HP:0000798
MONDO:0001915	HP:0001144
MONDO:0001953	HP:0012085
MONDO:0002028	HP:0012075
MONDO:0002043	HP:0000656
MONDO:0002052	HP:0002840
MONDO:0002053	HP:0001325
MONDO:0002070	HP:0001629
MONDO:0002076	HP:0002107
MONDO:0002093	HP:0025432
MONDO:0002102	HP:0100825
MONDO:0002119	HP:0030426
MONDO:0002123	HP:0003761
MONDO:0002127	HP:0012227
MONDO:0002177	HP:0000842
MONDO:0002203	HP:0002019
MONDO:0002205	HP:0030418
MONDO:0002234	HP:0030683
MONDO:0002257	HP:0031013
MONDO:0002274	HP:0031047
MONDO:0002277	HP:0002634
MONDO:0002280	HP:0001903
MONDO:0002281	HP:0001972
MONDO:0002333	HP:0025059
MONDO:0002345	HP:0030160
MONDO:0002400	HP:0100769
MONDO:0002447	HP:0012114
MONDO:0002462	HP:0000099
MONDO:0002610	HP:0000979
MONDO:0002807	HP:0030077
MONDO:0002905	HP:0002300
MONDO:0003155	HP:0001048
MONDO:0003282	HP:0000138
MONDO:0003441	HP:0001332
MONDO:0003799	HP:0000509
MONDO:0003924	HP:0008256
MONDO:0003924	HP:0008196
MONDO:0004126	HP:0100646
MONDO:0004577	HP:0200020
MONDO:0004674	HP:0012424
MONDO:0004750	HP:0002463
MONDO:0004779	HP:0000031
MONDO:0004796	HP:0001287
MONDO:0004934	HP:0040165
MONDO:0004966	HP:0005263
MONDO:0004967	HP:0006721
MONDO:0004979	HP:0002099
MONDO:0005012	HP:0012056
MONDO:0005015	HP:0000819
MONDO:0005025	HP:0100584
MONDO:0005033	HP:0003005
MONDO:0005041	HP:0000501
MONDO:0005044	HP:0000822
MONDO:0005059	HP:0001909
MONDO:0005070	HP:0002664
MONDO:0005090	HP:0100753
MONDO:0005105	HP:0002861
MONDO:0005129	HP:0000518
MONDO:0005133	HP:0030127
MONDO:0005181	HP:0000590
MONDO:0005246	HP:0002754
MONDO:0005247	HP:0000010
MONDO:0005264	HP:0002326
MONDO:0005280	HP:0000024
MONDO:0005289	HP:0030072
MONDO:0005290	HP:0003201
MONDO:0005292	HP:0002583
MONDO:0005304	HP:0100574
MONDO:0005392	HP:0002650
MONDO:0005397	HP:0000853
MONDO:0005402	HP:0005526
MONDO:0005441	HP:0000388
MONDO:0005468	HP:0002615
MONDO:0005485	HP:0000709
MONDO:0005571	HP:0001901
MONDO:0005642	HP:0007879
MONDO:0005881	HP:0001562
MONDO:0005904	HP:0001701
MONDO:0006022	HP:0001941
MONDO:0006181	HP:0002672
MONDO:0006292	HP:0100001
MONDO:0006362	HP:0100003
MONDO:0006497	HP:0100021
MONDO:0006499	HP:0010566
MONDO:0006500	HP:0001028
MONDO:0006547	HP:0000988
MONDO:0006869	HP:0005994
MONDO:0006964	HP:0000867
MONDO:0007197	HP:0000015
MONDO:0007721	HP:0002036
MONDO:0007886	HP:0000131
MONDO:0008449	HP:0002414
MONDO:0008848	HP:0011709
MONDO:0008977	HP:0006765
MONDO:0009993	HP:0006743
MONDO:0010811	HP:0008711
MONDO:0011284	HP:0000483
MONDO:0011438	HP:0001061
MONDO:0013600	HP:0100785
MONDO:0015486	HP:0000563
MONDO:0015974	HP:0004430
MONDO:0016122	HP:0003768
MONDO:0016642	HP:0002858
MONDO:0016982	HP:0200058
MONDO:0018102	HP:0001131
MONDO:0018177	HP:0012174
MONDO:0018177	HP:0100843
MONDO:0019118	HP:0000556
MONDO:0019280	HP:0000998
MONDO:0019289	HP:0000953
MONDO:0020696	HP:0100502
MONDO:0021129	HP:0000568
MONDO:0021187	HP:0003077
MONDO:0021210	HP:0100551
MONDO:0021210	HP:0012291
MONDO:0024276	HP:0031493
MONDO:0043494	HP:0012089
MONDO:0045050	HP:0100018
MONDO:0016344	HP:0002324
MONDO:0016523	HP:0100730
MONDO:0016723	HP:0030407
MONDO:0016754	HP:0009588
MONDO:0017078	HP:0011815
MONDO:0017106	HP:0006951
MONDO:0017178	HP:0010886
MONDO:0017201	HP:0010533
MONDO:0017285	HP:0100600
MONDO:0017340	HP:0030429
MONDO:0017410	HP:0002132
MONDO:0017419	HP:0009827
MONDO:0017437	HP:0009812
MONDO:0017438	HP:0009818
MONDO:0017439	HP:0003057
MONDO:0017449	HP:0001171
MONDO:0017450	HP:0001839
MONDO:0017470	HP:0005191
MONDO:0017474	HP:0100746
MONDO:0017475	HP:0100747
MONDO:0017988	HP:0011701
MONDO:0018048	HP:0011874
MONDO:0018082	HP:0011627
MONDO:0018090	HP:0011581
MONDO:0018334	HP:0100247
MONDO:0019773	HP:0002475
MONDO:0020575	HP:0031677
MONDO:0021004	HP:0001156
MONDO:0042981	HP:0001650
nodeID://b9181281	HP:0005208
nodeID://b9198725	HP:0002019
nodeID://b9209774	ONCOTREE:HPCCNS
nodeID://b9245587	ONCOTREE:THPD
nodeID://b9271977	HPO:probinson
nodeID://b9275992	HP:0002619
nodeID://b9368435	HP:0009934
nodeID://b9412305	HP:0008718
nodeID://b9412313	HP:0012582
nodeID://b9417261	HP:0007964
nodeID://b9421327	HP:0030998
nodeID://b9421337	HP:0030998
nodeID://b9421608	HP:0002740
nodeID://b9421609	HP:0002740
nodeID://b9421627	HP:0002740
nodeID://b9427922	HP:0031003
nodeID://b9427924	HP:0031003
nodeID://b9432023	HP:0031018
nodeID://b9432026	HP:0031018
nodeID://b9432027	HP:0031018
