Date	affy_probeset-ncbigene	assembly_insdc-bioproject	assembly_insdc-biosample	assembly_insdc-insdc_master	atc-pubchem_compound	bioproject-biosample	bioproject-geo_series	bioproject-pubmed	bioproject_umbrella-bioproject	biosample-bioproject	biosample-geo_sample	cellosaurus-ncit_disease	cellosaurus-orphanet	cellosaurus-orphanet_phenotype	chebi-inchi_key	chembl_compound-chebi	chembl_compound-chembl_target	chembl_compound-drugbank	chembl_compound-hmdb	chembl_compound-inchi_key	chembl_compound-mesh	chembl_compound-pdb_ccd	chembl_compound-pubchem_compound	chembl_compound-pubchem_substance	chembl_compound-pubmed	chembl_target-ensembl_gene	chembl_target-go	chembl_target-interpro	chembl_target-pdb	chembl_target-pfam	chembl_target-reactome_pathway	chembl_target-uniprot	clinvar-dbsnp	clinvar-hgnc	clinvar-medgen	clinvar-mondo	clinvar-ncbigene	clinvar-omim_phenotype	clinvar-orphanet_phenotype	clinvar-uniprot	cog-insdc	cog-refseq_protein	doid-mesh	doid-ncit_disease	doid-omim_phenotype	ensembl_gene-affy_probeset	ensembl_gene-ensembl_protein	ensembl_gene-ensembl_transcript	ensembl_gene-hgnc	ensembl_gene-ncbigene	ensembl_gene-uniprot	ensembl_protein-ensembl_transcript	ensembl_transcript-affy_probeset	ensembl_transcript-go	ensembl_transcript-hgnc	ensembl_transcript-refseq_rna	gea-bioproject	gea-biosample	glycomotif-glytoucan	glytoucan-doid	glytoucan-ncbigene	glytoucan-uniprot	hgnc-ccds	hgnc-ec	hgnc-ensembl_gene	hgnc-hgnc_symbol	hgnc-insdc	hgnc-lrg	hgnc-mgi	hgnc-mgi_gene	hgnc-mirbase	hgnc-ncbigene	hgnc-omim_gene	hgnc-pubmed	hgnc-refseq_genomic	hgnc-refseq_rna	hgnc-rgd	hgnc-uniprot	hmdb-chebi	hmdb-inchi_key	hmdb-pdb_ccd	hmdb-pubchem_compound	homologene-ncbigene	hp_inheritance-omim_phenotype	hp_phenotype-ncbigene	hp_phenotype-omim_phenotype	hp_phenotype-orphanet	hp_phenotype-orphanet_phenotype	insdc-bioproject	insdc-biosample	insdc_master-bioproject	insdc_master-biosample	interpro-go	interpro-pdb	interpro-pfam	interpro-prosite	interpro-pubmed	interpro-reactome_pathway	interpro-smart	interpro-uniprot	jga_study-jga_dataset	jga_study-nbdc_human_db	jga_study-pubmed	lipidmaps-chebi	lipidmaps-inchi_key	lipidmaps-swisslipids	mbgd_gene-uniprot	mbgd_organism-taxonomy	medgen-hp_phenotype	medgen-mesh	medgen-mondo	medgen-ncbigene	medgen-omim_phenotype	medgen-orphanet	medgen-orphanet_phenotype	mgi_gene-ensembl_gene	mgi_gene-hgnc	mgi_gene-mgi_allele	mgi_gene-ncbigene	mgi_gene-uniprot	mgi_genotype-doid	mgi_genotype-mgi_allele	mgi_genotype-mp	mondo-doid	mondo-hp_phenotype	mondo-meddra	mondo-mesh	mondo-omim_phenotype	mondo-orphanet	mondo-orphanet_phenotype	nando-mondo	ncbigene-ensembl_gene	ncbigene-ensembl_protein	ncbigene-ensembl_transcript	ncbigene-flybase_gene	ncbigene-go	ncbigene-hgnc	ncbigene-mgi	ncbigene-mgi_gene	ncbigene-mirbase	ncbigene-omim_gene	ncbigene-refseq_genomic	ncbigene-refseq_protein	ncbigene-refseq_rna	ncbigene-rgd	ncbigene-sgd	ncbigene-tair	ncbigene-taxonomy	ncbigene-vgnc	ncbigene-wormbase_gene	ncbigene-xenbase_gene	ncbigene-zfin_gene	ncit_disease-ncit_tissue	oma_protein-ensembl_gene	oma_protein-ensembl_transcript	oma_protein-ncbigene	oma_protein-uniprot	orphanet-meddra	orphanet-mesh	orphanet-omim_phenotype	orphanet_gene-ensembl_gene	orphanet_gene-hgnc	orphanet_gene-omim_gene	orphanet_gene-uniprot	orphanet_phenotype-meddra	orphanet_phenotype-mesh	orphanet_phenotype-omim_phenotype	orphanet_phenotype-orphanet_gene	pdb-go	pdb-interpro	pdb-pdb_ccd	pdb-pfam	pdb-uniprot	pmc-pubmed	prosite-prosite_prorule	pubchem_compound-atc	pubchem_compound-chebi	pubchem_compound-chembl_compound	pubchem_compound-drugbank	pubchem_compound-glytoucan	pubchem_compound-inchi_key	pubchem_pathway-ncbigene	pubchem_pathway-pathbank	pubchem_pathway-pubchem_compound	pubchem_pathway-reactome_pathway	pubchem_pathway-uniprot	pubchem_pathway-wikipathways	reactome_pathway-chebi	reactome_pathway-go	reactome_pathway-iuphar_ligand	reactome_pathway-mirbase	reactome_pathway-reactome_reaction	reactome_pathway-uniprot	reactome_reaction-chebi	reactome_reaction-go	reactome_reaction-iuphar_ligand	reactome_reaction-mirbase	reactome_reaction-uniprot	refseq_protein-uniprot	refseq_rna-dbsnp	refseq_rna-hgnc	refseq_rna-ncbigene	refseq_rna-omim_gene	refseq_rna-pubmed	refseq_rna-refseq_protein	refseq_rna-taxonomy	rhea-chebi	rhea-ec	rhea-go	rhea-pubmed	rhea-reactome_reaction	rhea-uniprot	sra_accession-bioproject	sra_accession-biosample	sra_accession-sra_analysis	sra_accession-sra_experiment	sra_accession-sra_project	sra_accession-sra_run	sra_accession-sra_sample	sra_experiment-bioproject	sra_experiment-biosample	sra_experiment-sra_project	sra_experiment-sra_sample	sra_project-bioproject	sra_run-bioproject	sra_run-biosample	sra_run-sra_experiment	sra_run-sra_project	sra_run-sra_sample	sra_sample-biosample	swisslipids-chebi	swisslipids-hmdb	swisslipids-inchi_key	taxonomy-pubmed	togovar-clinvar	togovar-dbsnp	togovar-ensembl_gene	togovar-ensembl_transcript	togovar-hgnc	togovar-medgen	togovar-ncbigene	togovar-pubmed	togovar-refseq_rna	uberon-ncit_tissue	uniprot-chembl_target	uniprot-dbsnp	uniprot-ec	uniprot-ensembl_gene	uniprot-ensembl_protein	uniprot-ensembl_transcript	uniprot-go	uniprot-hgnc	uniprot-insdc	uniprot-intact	uniprot-ncbigene	uniprot-oma_group	uniprot-omim_gene	uniprot-omim_phenotype	uniprot-orphanet	uniprot-orphanet_phenotype	uniprot-pdb	uniprot-reactome_pathway	uniprot-refseq_protein	uniprot-taxonomy	uniprot-uniprot_mnemonic	uniprot_reference_proteome-assembly_insdc	uniprot_reference_proteome-assembly_refseq	uniprot_reference_proteome-taxonomy	wikipathways-chebi	wikipathways-doid	wikipathways-hmdb	wikipathways-lipidmaps	wikipathways-ncbigene	wikipathways-uniprot	total
2023-08-21	19063	1766245	1758973	1698799	4812	2152400			92969	2152400		66884	37079		140674	33636	3087443	7876	6040	1914852	45164	13514	1878128	433053	1433069	2126	12425	10551	30576	3297	7582	8097			1711989						115826	3340026	3614	4756	5512	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325	21739		1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8636	220065	125222	112473		59409158	193975949	1533582	1533178	30447	1327214	19074		105565	429247		705961389	199	305	130	12834	47655	12340	137319849	6318	16462	16535	20576	7179	10788	8713										9886	567	1467	7895	9015	9436		2390	7970583	9534308	9836392	25107	2026880	43649	71337		17541	18303	198906	57618669	56123244	41846	6459	32835	47249341	111485	19852	46208	27139	24268	20047	64321		17856470	1192	1760	7574									1685272	726517	504137	314133	314990			4812	141021	2327813	10789	31767	115669075	32308	69387	1252528	2814	620221	1196	265075	10899	41848	327	364970	915052	200409	2838	15016	182	708505	156002713	269753606	227474	54991626	187862	5729614	47981666	55021439	200574	7527	4388	134328	1432	36115666	438111	25842951	270156	28835295	516882	33262326	27912918	25254598	25596291	25597327	25597092	438127	26894047	27251513	27255217	27249514	27252293	25843330	4276	26026	593209	48341	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10019	65357	36462409	9500702	9705416	9705416	457687155	81736	280736305	232083	13235629	12070097	16001	6891	8130		339675	261219	51832253		248842690	453726	146	521868	11260	935	4002	1351	29745	33106	4439154396
2023-08-26	19063	1766245	1758973	1698799	4812	2155736	190514	250801	93531	2155736		66884	37079		140674	33636	3087443	7876	6040	1914852	45164	13514	1878128	433053	1433069	2126	12425	10551	30576	3297	7582	8097			1711989						115826	3340026	3614	4756	5512	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325	21739		1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8636	220065	125222	112473		59409158	193975949	1533582	1533178	30447	1327214	19074		105565	429247		705961389	199	305	130	12834	47655	12340	137319849	6318	16462	16535	20576	7179	10788	8713										9886	567	1467	7895	9015	9436		2390	7970584	9534308	9836393	25107	2026870	43652	71710		17541	18307	198911	57608368	56341399	41847	6459	32835	47227565	111621	19852	46208	27136	24268	20047	64321		17856470	1192	1760	7574									1685272	726517	504137	314133	314990			4812	141021	2327813	10789	31767	115709345	32308	69387	1252528	2814	620221	1196	265075	10899	41848	327	364970	915052	200409	2838	15016	182	708505	165672001	269753606	227474	54991626	187862	5729614	47981666	55021439	200574	7527	4388	134328	1432	36115666	442301	25981878	270156	28909118	518161	33338432	27979942	25419636	25761339	25762365	25762133	445595	27067161	27424263	27428335	27422628	27425052	25999625	4276	26026	593209	48358	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10019	65357	36462409	9500702	9705416	9705416	457687155	81736	280736305	232083	13235629	12070097	16001	6891	8130		339675	261219	51832253		248842690	453726	146	521868	11260	935	4002	1351	29745	33106	4451549241
2023-09-02	19063	1768283	1778569	1715917	4812	2165833	190962	251271	93758	2165833		66884	37079		141392	34314	3091832	8206	11766	1915138	47707	13954	1878362	433124	1439514	2126	12004	11110	33678	3448	8014	8178			1711989						115826	3340026	4019	4849	5671	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325	21739		1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8636	220065	125222	112473		59409158	193975949	1533582	1533178	30447	1327214	19074		105565	429247		705961389	199	305	130	12836	47667	12341	137319849	6318	16674	16849	21567	7229	11043	9063										10712	574	1486	8352	9693	10380		2390	7970583	9534307	9836396	25107	2033833	43655	71710		17541	18315	198913	57949737	56461984	41847	6459	32835	47556780	111624	19852	46208	27134	24268	20047	64321		17854618	1192	1798	9075									1685211	726658	530587	339565	341431			4812	141021	2327813	10789	31767	115725703	32308	69387	1252527	2814	620221	1196	265075	12983	41848	327	400679	915052	200409	3335	15016	182	708505	165671803	269753606	227474	54991626	187862	5729614	47981666	55021439	201816	7528	4388	135188	1438	36115666	442684	26037407	270156	29054223	519221	33483536	28068551	25467339	25806898	25810068	25809836	445978	27118977	27484520	27498188	27474444	27487453	26055154	4276	26026	593209	48413	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10019	65357	36462409	9500702	9705416	9705416	457687155	81736	280736305	232083	13235629	12070097	16001	6891	8130		339675	261219	51832253		248842690	453726	146	521868	11260	935	4002	1351	29745	33106	4453550234
2023-09-09	19063	1776024	1786373	1723591	4812	2174918	191456	251639	94210	2174918		66884	37079		141392	34314	3091832	8206	11766	1915138	47707	13954	1878362	433124	1439514	2126	12004	11110	33678	3448	8014	8178			1711989						115826	3340026	4019	4849	5671	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325	21739		1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8636	220065	125222	112473		59409158	193975949	1533582	1533178	30447	1327214	19074		105565	429247		705961389	199	305	130	12836	47669	12341	137319849	6318	16674	16849	21567	7229	11043	9063										10712	574	1486	8352	9693	10380		2390	7970583	9534307	9836395	25107	2033844	43655	71711		17541	18316	198916	58096993	56611832	41847	6459	32835	47696907	111662	19852	46215	27129	24268	20047	64321		17853071	1192	1798	9075									1685211	726658	530587	339565	341431			4812	141021	2327813	10789	31767	115726765	32308	69387	1252527	2814	620221	1196	265075	12983	41848	327	400679	915052	200409	3335	15016	182	708505	165672662	269753606	227474	54991626	187862	5729614	47981666	55021439	201816	7528	4388	135188	1438	36115666	443694	26156614	270157	29319097	521315	33754122	28253861	25602162	25924573	25944891	25944659	446988	27296074	27614712	27691290	27651541	27635178	26174361	4276	26026	593209	48434	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10019	65357	36462409	9500702	9705416	9705416	457687155	81736	280736305	232083	13235629	12070097	16001	6891	8130		339675	261219	51832253		248842690	453726	146	521868	11260	935	4002	1351	29745	33106	4456341276
2023-09-20	19063	1792774	1804077	1740096	4812	2190976	191977	252783	94599	2190976		66884	37079		141392	34314	3091832	8206	11766	1915138	47707	13954	1878362	433124	1439514	2126	12004	11110	33678	3448	8014	8178			1711989						115826	3340026	4019	4849	5671	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325	21739		1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8636	220065	130011	111606		59409158	193975949	1533582	1533178	30455	1373272	20086		108097	434061		718937142	199	305	130	12836	47669	12341	137319849	6318	16674	16849	21567	7229	11043	9063										10712	574	1486	8352	9693	10380		2390	8810248	10306480	10742412	25107	2071617	43659	71705		17541	18319	198927	58222493	56723091	41847	6459	32835	47804767	111745	19852	46215	27126	24268	20047	64321		17854295	1192	1798	9075									1685211	726658	530587	339565	341431			4812	141021	2327813	10789	31767	115728177	32308	69387	1252527	2814	620221	1196	267131	12983	42184	327	400679	919326	202526	3335	15106	182	710946	165672665	269555074	227884	56393572	188029	5782354	49126684	56423426	201816	7528	4382	135188	1438	35862353	445129	26286636	270265	29505977	523893	33944452	28441025	25687310	26002845	26030039	26029807	448423	27383308	27695967	27781900	27738775	27723706	26312938	4276	26026	593209	48477	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10009	65606	39736080	9437907	9647866	9647866	468454164	81869	285326140	230955	12808889	12058569	16106	7021	8144		348411	259168	45060776		252170925	454834	146	522976	11260	935	4002	1351	29745	33106	4347680958
2023-09-23	19063	1802570	1813893	1749764	4812	2197708	192428	253625	94707	2197708		66884	37079	37079	141392	34314	3091832	8206	11766	1915138	47707	13954	1878362	433124	1439514	2126	12004	11110	33678	3448	8014	8178			1711989						115826	3340026	4019	4849	5671	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325	21739		1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8636	220065	130011	111606	111606	59409158	193975949	1533582	1533178	30455	1373272	20086		108097	434061		718937142	199	305	130	12836	47669	12341	137319849	6318	16674	16849	21567	7229	11043	9063	9063									10712	574	1486	8352	9693	10380	10380	2390	8810265	10305921	10728120	25107	2322833	43669	71717		17541	18322	201321	58396477	56906240	41846	6459	32835	47949539	111747	19852	46215	27124	24268	20047	64321		17855329	1192	1798	9075	4319	4337	4316	4298	1192	1798	7832	8040	1685211	726658	530587	339565	341431			4812	141021	2327813	10789	31767	115740113	32308	69387	1252527	2814	620221	1196	267131	12983	42184	327	400679	919326	202526	3335	15106	182	710946	166303167	269555074	227884	56393572	188029	5782354	49126684	56423426	201816	7528	4382	135188	1438	35862353	446720	26428614	270265	29629887	525928	34068968	28633713	25781984	26096060	26124713	26124481	450014	27481907	27788385	27880563	27837374	27817583	26454916	4276	26026	593209	48465	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10009	65606	39736080	9437907	9647866	9647866	468454164	81869	285326140	230955	12808889	12058569	16106	7021	8144	8144	348411	259168	45060776		252170925	454834	146	522976	11260	935	4002	1351	29745	33106	4495342260
2023-09-30	19063	1817652	1828993	1764702	4812	2207790	192763	253966	94885	2207790		66884	37079	37079	141392	34314	3091832	8206	11766	1915138	47707	13954	1878362	433124	1439514	2126	12004	11110	33678	3448	8014	8178			1711989						115826	3340026	4019	4849	5671	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325	21739		1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8636	220065	130011	111606	111606	59409158	193975949	1533582	1533178	30455	1373272	20086		108097	434061		718937142	199	305	130	12836	47669	12341	137319849	6318	16674	16849	21567	7229	11043	9063	9063									10712	574	1486	8352	9693	10380	10380	2390	8828667	10331725	10772512	25107	2795923	43671	71709		17541	18335	201350	58563975	56993120	41846	6464	32835	48113911	111959	19852	46215	27126	24268	20047	64321		17839066	1192	1798	9075	4319	4337	4316	4298	1192	1798	7832	8040	1685211	726658	530587	339565	341431			4812	141021	2327813	10789	31767	115749779	32308	69387	1252527	2814	620221	1196	267131	12983	42184	327	400679	919326	202526	3335	15106	182	710946	169386140	269555074	227884	56393572	188029	5782354	49126684	56423426	201816	7528	4382	135188	1438	35862353	451679	26946528	270265	29804049	528546	34260306	29011904	26050217	26387695	26392946	26392714	484722	27769396	28107436	28173600	28124863	28112112	26955462	4276	26026	593209	48543	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10009	65606	39736080	9437907	9647866	9647866	468454164	81869	285326140	230955	12808889	12058569	16106	7021	8144	8144	348411	259168	45060776		252170925	454834	146	522976	11291	946	4003	1351	30063	33210	4503848375
2023-10-10	19063	1841329	1852679	1788219		2228151	193507	254617	95214	2228151		68557		38153	141392	34314	3091832	8206	11766	1915138	47707	13954	1878362	433124	1439514	2126	12004	11110	33678	3448	8014	8178			1711989						115826	3340026	4019	4849	5671	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325	21739		1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8636	220065	130011		111606	59409158	193975949	1533582	1533178	30455	1373272	20086		108097	434061		718937142	199	305	130	12835	47669	12341	137319849	6318	16674	16849	21567	7229	11043		9063									10712	574	1486	8352	9693		10380	2390	8827223	10327118	10756236	25107	2795926	43673	71706		17541	18338	203675	58997388	57346678	41846	6464	32835	48481431	111966	19852	46220	27126	24268	2460780	2804840	7669110	18299774				4319	4337	4316	4298	1192	1798	7832	8040	1685211	726658	530587	339565	341431			4812	141021	2327813	10789	31767	115774604	32308	69387	1252527	2814	620221	1196	267131	12983	42184	327	400679	919326	202526	3335	15106	182	710946	216858058	269555074	227884	56393572	188029	5782354	49126684	56423426	201816	7528	4382	135188	1438	35862353	452021	26986675	270271	29898659	529758	34358950	29098319	26099112	26428512	26441841	26441609	485064	27821029	28150683	28225860	28176496	28162960	26995609	4276	26026	593209	48570	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10009	65606	39736080	9437907	9647866	9647866	468454164	81869	285326140	230955	12808889	12058569	16106	7021		8144	348411	259168	45060776		252170925	454834	146	522976	11291	946	4003	1351	30063	33210	4566512632
2023-10-16	19063	1847624	1859079	1794414		2233331	193851	254897	96055	2233331		68557		38153	141392	34314	3091832	8206	11766	1915138	47707	13954	1878362	433124	1439514	2126	12004	11110	33678	3448	8014	8178			1711989						115826	3340026	4019	4849	5671	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325	21739		1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8636	220065	129729		111606	59409158	193975949	1533582	1533178	30455	1373272	20086	1283	108097	434061	1275	718937142	199	305	130	12835	47703	12341	137319849	6318	16674	16849	21567	7229	11043		9063									10712	574	1486	8352	9693		10380	2390	8893374	10396075	10835017	25107	2795929	43698	71704		17541	18338	211608	59154183	57481146	41844	6464	32835	48608284	112038	19852	46220	27126	24268	2460780	2804840	7669110	18299774				4319	4337	4316	4298	1192	1798	7832	8040	1685211	726658	530587	339565	341431		1454	4812	141021	2327813	10789	31767	115200979	32308	69387	1252527	2814	620221	1196	267131	12983	42184	327	400679	919326	202526	3335	15106	182	710946	179007771	269555074	227884	56393572	188029	5782354	49126684	56423426	201816	7528	4382	135188	1438	35862353	452646	27014842	270271	30000181	532000	34462502	29199454	26117237	26440530	26459966	26459734	485689	27841680	28165180	28248904	28197147	28183208	27023779	4276	26026	593209	48583	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10009	65606	39736080	9437907	9647866	9647866	468454164	81869	285326140	230955	12808889	12058569	16106	7021		8144	348411	259168	45060776		252170925	454834	146	522976	11291	946	4003	1352	30100	33205	4529294801
2023-10-23	19063	1861738	1873193	1808386		2247572	194252	255332	96345	2247572		68557		38153	141392	34314	3091832	8206	11766	1915138	47707	13954	1878362	433124	1439514	2126	12004	11110	33678	3448	8014	8178			1711989						115826	3340026	4019	4849	5671	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325		21739	1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8660	220065	129729		111606	59409158	193975949	1533582	1533178	30455	1373272	20086	1283	108097	434061	1275	718937142	199	305	130	12835	47713	12341	137319849	6318	16674	16849	21567	7229	11043		9063	56593	24607	100105	55043	79656	7711	122136	391037	10712	574	1486	8352	9693		10380	2390	8986603	10503382	10952475	25107	2938755	43703		71696	17541	18342	211615	59191951	57506388	42520	6464	32835	48645542	112038	19852	46223	27127	26233	2460780	2804840	4800754	18299774				4319	4337	4316	4298	1192	1798	7832	8040	1685211	726658	530587	339565	341431		1454	4812	141021	2327813	10789	31767	115348330	32308	69387	1252527	2814	620221	1196	267131	12983	42184	327	400679	919326	202526	3335	15106	182	710946	179005345	269555074	227884	56393572	188029	5782354	49126684	56423426	201816	7528	4382	135188	1438	35862353	453085	27061050	270271	30092904	533478	34557648	29286887	26159950	26479751	26502679	26502447	486128	27887464	28206220	28296561	28242931	28226593	27069987	4276	26026	593209	48632	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10009	65606	39736080	9437907	9647866	9647866	468454164	81869	285326140	230955	12808889	12058569	16106	7021		8144	348411	259168	45060776		252170925	454834	146	522976	11291	946	4003	1352	30100	33205	4528804974
2023-10-28	19063	1871569	1883028	1818086		2257764	194630	255794	96670	2257764		68557		38153	141392	34314	3091832	8206	11766	1915138	47707	13954	1878362	433124	1439514	2126	12004	11110	33678	3448	8014	8178			1711989						115826	3340026	4019	4849	5671	54210	12180884	14437446	44278	6179217	4924829	12180887	218298	52748677	219677	10179574	141	5046		290	1270	49240	32995	1947	39997	42910	21188	1325		21739	1912	42861	16562	32616		28048	17934	20309	13701	217899	522	104230	275237	8660	220065	129729		111606	59409158	193975949	1533582	1533178	30455	1373272	20086	1283	108097	434061	1275	718937142	199	305	130	12835	47713	12341	137319849	6318	16674	16849	21567	7229	11043		9063	56593	24606	100264	55043	79656	7711	122136	391037	10712	574	1486	8352	9693		10380	2390	8987554	10503564	10954026	25107	10899757	43706		71694	17541	18348	211616	59302999	57623245	42520	6464	32835	48749205	112107	19850	46225	27127	26233	2460780	2804840	4800754	18299774				4319	4337	4316	4298	1192	1798	7832	8040	1685211	726658	530587	339565	341431		1454	4812	141021	2327813	10789	31767	115371455	32308	69387	1252527	2814	620221	1196	267131	12983	42184	327	400679	919326	202526	3335	15106	182	710946	179005345	269555074	227884	56393572	188029	5782354	49126684	56423426	201816	7528	4382	135188	1438	35862353	457431	27286140	270271	30186822	534698	34653091	29376574	26397508	26735738	26740409	26740212	457447	28198069	28530220	28599279	28553708	28534680	27295074	4276	26026	593209	48650	720705	66877211	72473309	287277970	60732887	935843	60001809	692119	173346179	2586	10009	65606	39736080	9437907	9647866	9647866	468454164	81869	285326140	230955	12808889	12058569	16106	7021		8144	348411	259168	45060776		252170925	454834	146	522976	11291	946	4003	1352	30100	33205	4540405858
